sensor,mac_address,unidade_medida,valor,latitude,longitude,status,timestamp
temperatura,00:1B:44:11:3A:BA,°C,16.88,-15.794229,-47.882166,false,2025-04-08T03:35:42.887406
temperatura,00:1B:44:11:3A:BA,°C,17.75,-22.906847,-43.172896,true,2025-04-09T14:03:42.887428
temperatura,00:1B:44:11:3A:BA,°C,27.78,-22.906847,-43.172896,false,2025-04-11T18:54:42.887438
temperatura,00:1B:44:11:3A:BA,°C,21.81,-23.55052,-46.633308,false,2025-04-13T21:07:42.887447
temperatura,00:1B:44:11:3A:B9,°C,27.56,-19.916681,-43.934493,false,2025-04-09T05:09:42.887456
temperatura,00:1B:44:11:3A:B8,°C,26.03,-23.55052,-46.633308,true,2025-04-10T05:37:42.887465
temperatura,00:1B:44:11:3A:B7,°C,24.3,-23.55052,-46.633308,true,2025-04-12T17:29:42.887474
temperatura,00:1B:44:11:3A:BA,°C,18.81,-22.906847,-43.172896,true,2025-04-11T22:21:42.887487
temperatura,00:1B:44:11:3A:B8,°C,17.01,-22.906847,-43.172896,false,2025-04-09T20:33:42.887497
temperatura,00:1B:44:11:3A:B7,°C,22.12,-23.55052,-46.633308,true,2025-04-13T22:49:42.887507
temperatura,00:1B:44:11:3A:B9,°C,32.1,-19.916681,-43.934493,true,2025-04-14T08:08:42.887515
temperatura,00:1B:44:11:3A:B9,°C,18.96,-23.55052,-46.633308,true,2025-04-08T21:06:42.887523
temperatura,00:1B:44:11:3A:B8,°C,19.79,-23.55052,-46.633308,true,2025-04-14T14:37:42.887530
temperatura,00:1B:44:11:3A:B8,°C,32.15,-22.906847,-43.172896,true,2025-04-12T11:40:42.887538
temperatura,00:1B:44:11:3A:B9,°C,28.31,-15.794229,-47.882166,false,2025-04-09T15:30:42.887546
temperatura,00:1B:44:11:3A:B9,°C,31.2,-23.55052,-46.633308,false,2025-04-10T16:30:42.887554
temperatura,00:1B:44:11:3A:B7,°C,15.69,-23.55052,-46.633308,false,2025-04-14T03:17:42.887563
temperatura,00:1B:44:11:3A:B7,°C,19.6,-19.916681,-43.934493,false,2025-04-11T05:38:42.887571
temperatura,00:1B:44:11:3A:BA,°C,15.29,-19.916681,-43.934493,false,2025-04-11T20:27:42.887580
temperatura,00:1B:44:11:3A:BA,°C,32.83,-19.916681,-43.934493,false,2025-04-11T17:25:42.887588
temperatura,00:1B:44:11:3A:B8,°C,31.81,-23.55052,-46.633308,true,2025-04-08T15:28:42.887596
temperatura,00:1B:44:11:3A:B9,°C,17.47,-23.55052,-46.633308,true,2025-04-09T02:15:42.887603
temperatura,00:1B:44:11:3A:BA,°C,30.69,-23.55052,-46.633308,true,2025-04-12T02:36:42.887611
